title,url,time,source,file_type,file_type_2
技术许可材料,http://zhb.ustc.edu.cn/2021/1110/c18534a532007/page.htm,2021-11-10,科技成果转移转化办公室,,
技术转让材料,http://zhb.ustc.edu.cn/2021/1110/c18534a532010/page.htm,2021-11-10,科技成果转移转化办公室,,
技术入股材料,http://zhb.ustc.edu.cn/2021/1110/c18534a532012/page.htm,2021-11-10,科技成果转移转化办公室,,
中国科学技术大学技术许可转让合同签订审批表,http://zhb.ustc.edu.cn/2021/1110/c18534a532013/page.htm,2021-11-10,科技成果转移转化办公室,,
中国科学技术大学成果转化登记表,http://zhb.ustc.edu.cn/2020/0701/c18534a435233/page.htm,2020-07-01,科技成果转移转化办公室,,
学习指南 2020,http://cs.ustc.edu.cn/2020/0904/c20158a448498/page.htm,2020-09-04,计算机科学技术学院,本科生教育,
2019级及以后中国科学技术大学本科生体育课程修读管理规定（2019...,http://cs.ustc.edu.cn/2020/0904/c20158a448489/page.htm,2020-09-04,计算机科学技术学院,本科生教育,
关于思想政治课程执行方案（试行）的通知,http://cs.ustc.edu.cn/2020/0904/c20158a448488/page.htm,2020-09-04,计算机科学技术学院,本科生教育,
计算机学院研究生学术论坛作业要求,http://cs.ustc.edu.cn/2022/1114/c20165a580303/page.htm,2022-11-14,计算机科学技术学院,研究生教育,
前沿讲座、学术报告会等实施流程+备案表 下载,http://cs.ustc.edu.cn/2022/0428/c20165a553009/page.htm,2022-04-28,计算机科学技术学院,研究生教育,
学生申请-院研究生学术论坛宣讲（样表）,http://cs.ustc.edu.cn/2020/1225/c20165a466288/page.htm,2020-12-25,计算机科学技术学院,研究生教育,
研究生课程管理文档下载,https://gradschool.ustc.edu.cn/column/178,2022-10-17,计算机科学技术学院,研究生教育,
学术学位研究生培养过程文档下载链接（含学院文档）,http://cs.ustc.edu.cn/2022/0906/c20165a567063/page.htm,2022-09-06,计算机科学技术学院,研究生教育,
学籍奖助文档下载链接,https://gradschool.ustc.edu.cn/column/41,2020-11-10,计算机科学技术学院,研究生教育,
学位申请文档下载链接,https://gradschool.ustc.edu.cn/column/190,2020-11-10,计算机科学技术学院,研究生教育,
学术博士学位申请者审核材料清单,https://gradschool.ustc.edu.cn/article/228,2020-11-10,计算机科学技术学院,研究生教育,
学术硕士学位申请者审核材料清单,https://gradschool.ustc.edu.cn/article/232,2020-11-10,计算机科学技术学院,研究生教育,
计算机学院期末考试考场记录表,http://cs.ustc.edu.cn/2023/0703/c20165a607566/page.htm,2023-07-03,计算机科学技术学院,研究生教育,
计算机学院研究生学术论坛作业要求,http://cs.ustc.edu.cn/2022/1114/c20165a580303/page.htm,2022-11-14,计算机科学技术学院,研究生教育,
前沿讲座、学术报告会等实施流程+备案表 下载,http://cs.ustc.edu.cn/2022/0428/c20165a553009/page.htm,2022-04-28,计算机科学技术学院,研究生教育,
学生申请-院研究生学术论坛宣讲（样表）,http://cs.ustc.edu.cn/2020/1225/c20165a466288/page.htm,2020-12-25,计算机科学技术学院,研究生教育,
研究生课程管理文档下载,https://gradschool.ustc.edu.cn/column/178,2022-10-17,计算机科学技术学院,研究生教育,
学术学位研究生培养过程文档下载链接（含学院文档）,http://cs.ustc.edu.cn/2022/0906/c20165a567063/page.htm,2022-09-06,计算机科学技术学院,研究生教育,
学籍奖助文档下载链接,https://gradschool.ustc.edu.cn/column/41,2020-11-10,计算机科学技术学院,研究生教育,
学位申请文档下载链接,https://gradschool.ustc.edu.cn/column/190,2020-11-10,计算机科学技术学院,研究生教育,
学术博士学位申请者审核材料清单,https://gradschool.ustc.edu.cn/article/228,2020-11-10,计算机科学技术学院,研究生教育,
学术硕士学位申请者审核材料清单,https://gradschool.ustc.edu.cn/article/232,2020-11-10,计算机科学技术学院,研究生教育,
计算机学院期末考试考场记录表,http://cs.ustc.edu.cn/2023/0703/c20165a607566/page.htm,2023-07-03,计算机科学技术学院,研究生教育,
工程硕士应用证明参考模板,http://cybersec.ustc.edu.cn/2023/1109/c23830a617140/page.htm,2023-11-09,网络空间安全学院,,
专业选修课认定,http://cybersec.ustc.edu.cn/2023/1109/c23830a617139/page.htm,2023-11-09,网络空间安全学院,,
工程博士开题申请表,http://cybersec.ustc.edu.cn/2023/1108/c23830a617052/page.htm,2023-11-08,网络空间安全学院,,
工程博士开题报告,http://cybersec.ustc.edu.cn/2023/1108/c23830a617051/page.htm,2023-11-08,网络空间安全学院,,
研究生学位论文-工作检查-送审申请,http://cybersec.ustc.edu.cn/2023/1102/c23830a616522/page.htm,2023-11-02,网络空间安全学院,,
工程硕士中期报告考核表,http://cybersec.ustc.edu.cn/2023/1102/c23830a616521/page.htm,2023-11-02,网络空间安全学院,,
工程硕士开题报告及评审表,http://cybersec.ustc.edu.cn/2023/1102/c23830a616520/page.htm,2023-11-02,网络空间安全学院,,
博士/硕士中期检查报告,http://cybersec.ustc.edu.cn/2023/1102/c23830a616519/page.htm,2023-11-02,网络空间安全学院,,
博士/硕士开题报告,http://cybersec.ustc.edu.cn/2023/1102/c23830a616518/page.htm,2023-11-02,网络空间安全学院,,
网络空间安全学院高水平讲座实施申请表,http://cybersec.ustc.edu.cn/2023/1010/c23830a614445/page.htm,2023-10-10,网络空间安全学院,,
网络空间安全学院自然科学类学术报告会、研讨会审批表,http://cybersec.ustc.edu.cn/2023/1010/c23830a614444/page.htm,2023-10-10,网络空间安全学院,,
加课申请表,http://cybersec.ustc.edu.cn/2022/0720/c23830a563025/page.htm,2022-07-20,网络空间安全学院,,
网络空间安全学院研究生学位论文答辩材料自查表,http://cybersec.ustc.edu.cn/2021/0705/c23830a516041/page.htm,2021-07-05,网络空间安全学院,,
博士生“网络空间安全专题”成绩登记表,http://cybersec.ustc.edu.cn/2020/0826/c23830a468198/page.htm,2020-08-26,网络空间安全学院,,
